state,2023,HouseholdIncome,HomeValue,affordability
District of Columbia,727374.27,90842,727374.27,8.007026155302613
Maryland,387271.13,87063,387271.13,4.448171209354146
New Jersey,451762.17,85245,451762.17,5.299573816646137
Massachusetts,562322.3,84385,562322.3,6.663770812348167
Hawaii,971229.63,83173,971229.63,11.67722253615957
Connecticut,370657.2,79855,370657.2,4.641627950660572
California,739948.48,78672,739948.48,9.405487085621314
New Hampshire,434838.45,77923,434838.45,5.580360740731235
Alaska,356488.77,77790,356488.77,4.5827069032009256
Washington,565753.1,77006,565753.1,7.3468703737371115
Virginia,355296.49,76398,355296.49,4.650599361239823
Colorado,544309.93,75231,544309.93,7.23518137469926
Utah,506047.09,74197,506047.09,6.820317398277559
Minnesota,312480.91,73382,312480.91,4.258277370472323
New York,390997.06,71117,390997.06,5.497940858022695
Rhode Island,410639.45,70305,410639.45,5.840828532821279
Delaware,347328.82,69110,347328.82,5.025738966864419
Illinois,231942.7,68428,231942.7,3.38958759572105
Oregon,481279.49,65667,481279.49,7.329092085826975
North Dakota,239785.34,65315,239785.34,3.671213963101891
Wyoming,318486.72,65304,318486.72,4.876986402058066
Texas,291600.32,63826,291600.32,4.568676088114562
Pennsylvania,237816.95,63627,237816.95,3.7376734719537303
Vermont,318496.18,63477,318496.18,5.017505238117743
Wisconsin,250795.43,63293,250795.43,3.9624512979318407
Nebraska,236652.94,63015,236652.94,3.7555017059430296
Nevada,425940.38,62043,425940.38,6.865244749609142
Iowa,196840.79,61836,196840.79,3.183271718739893
Arizona,416696.53,61529,416696.53,6.77235986282891
Georgia,301569.55,61224,301569.55,4.925675388736443
Kansas,204502.41,61091,204502.41,3.3475047060941874
South Dakota,276328.41,59896,276328.41,4.613470181648189
Maine,337578.95,59489,337578.95,5.674644892333037
Michigan,205599.59,59234,205599.59,3.4709725833136376
Idaho,432939.74,58915,432939.74,7.348548586947297
Indiana,217137.12,58235,217137.12,3.728636043616382
Ohio,200631.0,58116,200631.0,3.4522506710716496
Florida,392791.85,57703,392791.85,6.807130478484654
Missouri,222048.48,57290,222048.48,3.8758680397975214
North Carolina,301815.66,56642,301815.66,5.3284781610818825
Montana,422120.18,56539,422120.18,7.466000106121438
South Carolina,266863.1,54864,266863.1,4.864083916593759
Tennessee,280642.58,54833,280642.58,5.118132876187698
Oklahoma,186452.83,53840,186452.83,3.463091196136701
Kentucky,183448.0,52238,183448.0,3.511773038784027
Alabama,195289.14,52035,195289.14,3.753034303833958
New Mexico,276884.74,51243,276884.74,5.403367094042113
Louisiana,176196.56,50800,176196.56,3.468436220472441
Arkansas,171696.42,49475,171696.42,3.4703672561899954
West Virginia,143452.71,48037,143452.71,2.98629618835481
Mississippi,154883.82,46511,154883.82,3.3300470856356563
